eventid,message,url,timestamp,Anon Src IP,src_port,dst_port,sensor,request,user_agent,Dst IP,VT Malicious,VT Engines,VT Labels,VT Tags,VT Reputation,Geo Location,ISP
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-21 05:24:41.219632+00:00,14.162.132.72,52148,9200,t-pot,GET,Mozilla/OnlyScans (optout@onlyscans.com),172.31.0.2,0,,,,0,GB,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-21 05:24:41.411465+00:00,14.162.132.72,52152,9200,t-pot,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.31.0.2,0,,,,0,GB,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/,2025-01-21 07:42:02.833234+00:00,6.251.21.150,52784,9200,t-pot,GET,"Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com",172.31.0.2,9,"Criminal IP, alphaMountain.ai, BitDefender, Certego, CyRadar, G-Data, Lionic, SOCRadar, VIPRE","malicious, phishing, malware",,-3,TW,AS396982 Google LLC
elasticpot.recon,Scan,/,2025-01-21 08:11:43.971163+00:00,12.47.16.211,49758,9200,t-pot,GET,"Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com",172.31.0.2,14,"ADMINUSLabs, Criminal IP, BitDefender, Certego, Chong Lua Dao, CRDF, CyRadar, Fortinet, G-Data, Guardpot, IPsum, Lionic, SOCRadar, VIPRE","malicious, phishing, malware",,-4,US,AS396982 Google LLC
elasticpot.recon,Scan,/_search,2025-01-21 08:41:16.185755+00:00,200.132.104.207,55872,9200,t-pot,GET,Mozilla/5.0 zgrab/0.x,172.31.0.2,0,,,,-1,US,AS8075 Microsoft Corporation
elasticpot.recon,Scan,/,2025-01-21 10:08:46.851670+00:00,14.184.61.76,41048,9200,t-pot,GET,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/),172.31.0.2,8,"Criminal IP, BitDefender, CyRadar, Fortinet, G-Data, GreenSnow, IPsum, SOCRadar","malicious, phishing, malware",,-2,US,"AS398324 Censys, Inc."
elasticpot.recon,Scan,/_cluster/stats,2025-01-21 10:08:47.765730+00:00,14.184.61.76,41050,9200,t-pot,GET,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/),172.31.0.2,8,"Criminal IP, BitDefender, CyRadar, Fortinet, G-Data, GreenSnow, IPsum, SOCRadar","malicious, phishing, malware",,-2,US,"AS398324 Censys, Inc."
elasticpot.recon,Scan,/_nodes,2025-01-21 10:08:49.195348+00:00,14.184.61.76,41056,9200,t-pot,GET,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/),172.31.0.2,8,"Criminal IP, BitDefender, CyRadar, Fortinet, G-Data, GreenSnow, IPsum, SOCRadar","malicious, phishing, malware",,-2,US,"AS398324 Censys, Inc."
elasticpot.recon,Scan,/favicon.ico,2025-01-21 10:08:50.200197+00:00,14.184.61.76,41060,9200,t-pot,GET,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/),172.31.0.2,8,"Criminal IP, BitDefender, CyRadar, Fortinet, G-Data, GreenSnow, IPsum, SOCRadar","malicious, phishing, malware",,-2,US,"AS398324 Censys, Inc."
elasticpot.recon,Scan,/,2025-01-21 13:57:05.903794+00:00,221.178.128.79,49538,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0,172.31.0.2,1,Guardpot,malicious,,-1,BE,AS396982 Google LLC
elasticpot.recon,Scan,/,2025-01-21 13:57:06.098354+00:00,221.178.128.79,49540,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0,172.31.0.2,1,Guardpot,malicious,,-1,BE,AS396982 Google LLC
elasticpot.recon,Scan,/,2025-01-21 13:57:06.438285+00:00,220.19.255.62,46496,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0,172.31.0.2,1,Guardpot,malicious,,0,BE,AS396982 Google LLC
elasticpot.recon,Scan,/_all/_mapping,2025-01-21 13:57:06.642635+00:00,220.19.255.62,46512,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0,172.31.0.2,1,Guardpot,malicious,,0,BE,AS396982 Google LLC
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-21 16:24:26.019350+00:00,20.199.127.233,52318,9200,t-pot,GET,Mozilla/OnlyScans (optout@onlyscans.com),172.31.0.2,0,,,,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-21 16:24:26.172343+00:00,20.199.127.233,52320,9200,t-pot,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.31.0.2,0,,,,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/,2025-01-21 17:19:34.530965+00:00,253.7.80.231,36440,9200,t-pot,GET,Mozilla/5.0 zgrab/0.x,172.31.0.2,0,,,,-1,US,AS8075 Microsoft Corporation
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-21 17:28:51.292498+00:00,93.225.4.119,48962,9200,t-pot,GET,Mozilla/OnlyScans (optout@onlyscans.com),172.31.0.2,0,,,,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-21 17:28:51.433533+00:00,93.225.4.119,48970,9200,t-pot,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.31.0.2,0,,,,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json&h=index,2025-01-21 20:42:37.644537+00:00,209.246.4.203,40282,9200,t-pot,GET,python-httpx/0.21.1,172.31.0.2,3,"ADMINUSLabs, Fortinet, SOCRadar","malicious, malware",,0,FR,AS16276 OVH SAS
elasticpot.recon,Scan,/_cat/aliases?format=json&h=alias,2025-01-21 20:42:37.840228+00:00,209.246.4.203,40836,9200,t-pot,GET,python-httpx/0.21.1,172.31.0.2,3,"ADMINUSLabs, Fortinet, SOCRadar","malicious, malware",,0,FR,AS16276 OVH SAS
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-22 05:31:41.510549+00:00,93.225.197.245,59856,9200,t-pot,GET,Mozilla/OnlyScans (optout@onlyscans.com),172.31.0.2,2,"ADMINUSLabs, Fortinet","malicious, phishing",,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-22 05:31:41.564134+00:00,93.225.197.245,59868,9200,t-pot,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.31.0.2,2,"ADMINUSLabs, Fortinet","malicious, phishing",,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/,2025-01-22 06:13:12.140324+00:00,210.227.72.9,40630,9200,t-pot,GET,elasticsearch-py/7.13.4 (Python 3.10.2),172.31.0.2,2,"CyRadar, GreyNoise",malicious,,-2,US,"AS14618 Amazon.com, Inc."
elasticpot.recon,Scan,/_alias,2025-01-22 06:13:12.193648+00:00,210.227.72.9,40634,9200,t-pot,GET,elasticsearch-py/7.13.4 (Python 3.10.2),172.31.0.2,2,"CyRadar, GreyNoise",malicious,,-2,US,"AS14618 Amazon.com, Inc."
elasticpot.recon,Scan,/*,2025-01-22 06:13:12.219837+00:00,210.227.72.9,40640,9200,t-pot,GET,elasticsearch-py/7.13.4 (Python 3.10.2),172.31.0.2,2,"CyRadar, GreyNoise",malicious,,-2,US,"AS14618 Amazon.com, Inc."
elasticpot.recon,Scan,/,2025-01-22 06:28:06.846904+00:00,78.136.30.97,49526,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:129.0) Gecko/20100101 Firefox/129.0,172.31.0.2,0,,,,0,CA,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Head scan,/,2025-01-22 06:32:26.350432+00:00,204.82.114.50,59764,9200,t-pot,HEAD,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,172.31.0.2,0,,,,0,US,"AS16509 Amazon.com, Inc."
elasticpot.recon,Scan,/,2025-01-22 06:32:26.453360+00:00,204.82.114.50,59772,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,172.31.0.2,0,,,,0,US,"AS16509 Amazon.com, Inc."
elasticpot.recon,Scan,/_cat/health?format=json,2025-01-22 06:32:26.556365+00:00,204.82.114.50,59784,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,172.31.0.2,0,,,,0,US,"AS16509 Amazon.com, Inc."
elasticpot.recon,Scan,"/_cat/indices?format=json&bytes=b&h=health,status,index,pri.store.size,docs.count,docs.deleted,store.size,creation.date.string",2025-01-22 06:32:26.660427+00:00,204.82.114.50,42948,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,172.31.0.2,0,,,,0,US,"AS16509 Amazon.com, Inc."
elasticpot.recon,Scan,/db18744ea5570fa9bf868df44fecd4b58332ff24/_mapping,2025-01-22 06:32:26.763853+00:00,204.82.114.50,42970,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,172.31.0.2,0,,,,0,US,"AS16509 Amazon.com, Inc."
elasticpot.recon,Scan,/1cf0aa9d61f185b59f643939f862c01f89b21360/_mapping,2025-01-22 06:32:26.766869+00:00,204.82.114.50,42964,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,172.31.0.2,0,,,,0,US,"AS16509 Amazon.com, Inc."
elasticpot.recon,Scan,/db18744ea5570fa9bf868df44fecd4b58332ff24/_search,2025-01-22 06:32:26.866330+00:00,204.82.114.50,42976,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,172.31.0.2,0,,,,0,US,"AS16509 Amazon.com, Inc."
elasticpot.recon,Scan,/1cf0aa9d61f185b59f643939f862c01f89b21360/_search,2025-01-22 06:32:26.869127+00:00,204.82.114.50,42984,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,172.31.0.2,0,,,,0,US,"AS16509 Amazon.com, Inc."
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-22 07:24:24.617866+00:00,183.173.204.225,46234,9200,t-pot,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",172.31.0.2,1,SOCRadar,malicious,,0,US,AS36352 HostPapa
elasticpot.recon,Scan,/1cf0aa9d61f185b59f643939f862c01f89b21360/_search,2025-01-22 07:24:24.677172+00:00,183.173.204.225,46248,9200,t-pot,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",172.31.0.2,1,SOCRadar,malicious,,0,US,AS36352 HostPapa
elasticpot.recon,Scan,/db18744ea5570fa9bf868df44fecd4b58332ff24/_search,2025-01-22 07:24:24.732191+00:00,183.173.204.225,46258,9200,t-pot,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",172.31.0.2,1,SOCRadar,malicious,,0,US,AS36352 HostPapa
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-22 10:00:20.124717+00:00,183.173.204.225,54024,9200,t-pot,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",172.31.0.2,1,SOCRadar,malicious,,0,US,AS36352 HostPapa
elasticpot.recon,Scan,/1cf0aa9d61f185b59f643939f862c01f89b21360/_search,2025-01-22 10:00:20.188500+00:00,183.173.204.225,54036,9200,t-pot,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",172.31.0.2,1,SOCRadar,malicious,,0,US,AS36352 HostPapa
elasticpot.recon,Scan,/db18744ea5570fa9bf868df44fecd4b58332ff24/_search,2025-01-22 10:00:20.245374+00:00,183.173.204.225,54044,9200,t-pot,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",172.31.0.2,1,SOCRadar,malicious,,0,US,AS36352 HostPapa
elasticpot.recon,Scan,/_cat/indices,2025-01-22 14:52:53.081029+00:00,2.191.36.95,37080,9200,t-pot,GET,curl/7.74.0,172.31.0.2,4,"ADMINUSLabs, CyRadar, Fortinet, SOCRadar","malicious, malware",vpn,0,NL,AS39351 31173 Services AB
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-22 14:57:13.694594+00:00,89.8.57.18,57140,9200,t-pot,GET,Mozilla/OnlyScans (optout@onlyscans.com),172.31.0.2,0,,,,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-22 14:57:13.740823+00:00,89.8.57.18,57144,9200,t-pot,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.31.0.2,0,,,,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_aliases,2025-01-22 19:44:24.985795+00:00,253.27.177.133,52602,9200,t-pot,GET,Mozilla/5.0 zgrab/0.x,172.31.0.2,0,,,,-3,US,AS8075 Microsoft Corporation
elasticpot.recon,Scan,/,2025-01-22 20:44:01.528954+00:00,95.30.117.68,55832,9200,t-pot,GET,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/),172.31.0.2,6,"ADMINUSLabs, Criminal IP, CRDF, CyRadar, Guardpot, SOCRadar",malicious,,-5,US,"AS398324 Censys, Inc."
elasticpot.recon,Scan,/_cluster/stats,2025-01-22 20:44:04.127782+00:00,95.30.117.68,55836,9200,t-pot,GET,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/),172.31.0.2,6,"ADMINUSLabs, Criminal IP, CRDF, CyRadar, Guardpot, SOCRadar",malicious,,-5,US,"AS398324 Censys, Inc."
elasticpot.recon,Scan,/_nodes,2025-01-22 20:44:13.426648+00:00,95.30.117.68,59180,9200,t-pot,GET,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/),172.31.0.2,6,"ADMINUSLabs, Criminal IP, CRDF, CyRadar, Guardpot, SOCRadar",malicious,,-5,US,"AS398324 Censys, Inc."
elasticpot.recon,Scan,/favicon.ico,2025-01-22 20:44:14.058732+00:00,95.30.117.68,59184,9200,t-pot,GET,Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/),172.31.0.2,6,"ADMINUSLabs, Criminal IP, CRDF, CyRadar, Guardpot, SOCRadar",malicious,,-5,US,"AS398324 Censys, Inc."
elasticpot.recon,Scan,/_stats/indices,2025-01-22 21:29:36.796910+00:00,180.237.33.124,60058,9200,t-pot,GET,Mozilla/5.0 zgrab/0.x,172.31.0.2,0,,,,-3,US,AS8075 Microsoft Corporation
elasticpot.recon,Scan,/_search,2025-01-22 22:17:07.141676+00:00,245.62.159.13,33496,9200,t-pot,GET,Mozilla/5.0 zgrab/0.x,172.31.0.2,0,,,,-1,US,AS8075 Microsoft Corporation
elasticpot.recon,Scan,/,2025-01-23 06:36:08.214881+00:00,83.91.42.146,58814,9200,t-pot,GET,Mozilla/5.0 zgrab/0.x,172.28.0.2,0,,,,0,US,AS8075 Microsoft Corporation
elasticpot.recon,Scan,/,2025-01-23 11:46:13.379573+00:00,177.85.198.31,59204,9200,t-pot,GET,,172.28.0.2,1,SOCRadar,malware,,0,CN,AS4134 CHINANET-BACKBONE
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-23 11:46:13.825254+00:00,242.155.226.95,40763,9200,t-pot,GET,,172.28.0.2,5,"ADMINUSLabs, CyRadar, Fortinet, GreyNoise, SOCRadar","malicious, malware",,-1,CN,AS4837 CHINA UNICOM China169 Backbone
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-23 14:23:43.710943+00:00,20.199.22.168,54898,9200,t-pot,GET,Mozilla/OnlyScans (optout@onlyscans.com),172.28.0.2,1,Criminal IP,malicious,,0,AU,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-23 14:23:44.132363+00:00,20.199.22.168,54900,9200,t-pot,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.28.0.2,1,Criminal IP,malicious,,0,AU,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/,2025-01-23 16:08:48.594965+00:00,137.104.47.123,60098,9200,t-pot,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.28.0.2,11,"Criminal IP, BitDefender, Cyble, CyRadar, Forcepoint ThreatSeeker, G-Data, IPsum, Lionic, SOCRadar, VIPRE, Xcitium Verdict Cloud","malicious, phishing, malware",,-18,US,AS6939 Hurricane Electric LLC
elasticpot.recon,Scan,/favicon.ico,2025-01-23 16:09:00.451306+00:00,137.104.47.123,63226,9200,t-pot,GET,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",172.28.0.2,11,"Criminal IP, BitDefender, Cyble, CyRadar, Forcepoint ThreatSeeker, G-Data, IPsum, Lionic, SOCRadar, VIPRE, Xcitium Verdict Cloud","malicious, phishing, malware",,-18,US,AS6939 Hurricane Electric LLC
elasticpot.recon,Scan,http://api.ipify.org/?format=json,2025-01-23 16:09:02.987881+00:00,137.104.47.123,4782,9200,t-pot,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",172.28.0.2,11,"Criminal IP, BitDefender, Cyble, CyRadar, Forcepoint ThreatSeeker, G-Data, IPsum, Lionic, SOCRadar, VIPRE, Xcitium Verdict Cloud","malicious, phishing, malware",,-18,US,AS6939 Hurricane Electric LLC
elasticpot.recon,Scan,/,2025-01-23 16:14:20.883510+00:00,204.70.28.211,57065,9200,t-pot,GET,elasticsearch-py/7.10.1 (Python 3.9.17),172.28.0.2,0,,,,0,DE,"AS16509 Amazon.com, Inc."
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-23 16:14:21.099971+00:00,204.70.28.211,34524,9200,t-pot,GET,elasticsearch-py/7.10.1 (Python 3.9.17),172.28.0.2,0,,,,0,DE,"AS16509 Amazon.com, Inc."
elasticpot.attack,Exploit,/1cf0aa9d61f185b59f643939f862c01f89b21360/_search?pretty=true,2025-01-23 16:14:21.316589+00:00,204.70.28.211,20577,9200,t-pot,POST,elasticsearch-py/7.10.1 (Python 3.9.17),172.28.0.2,0,,,,0,DE,"AS16509 Amazon.com, Inc."
elasticpot.attack,Exploit,/db18744ea5570fa9bf868df44fecd4b58332ff24/_search?pretty=true,2025-01-23 16:14:21.530550+00:00,204.70.28.211,61740,9200,t-pot,POST,elasticsearch-py/7.10.1 (Python 3.9.17),172.28.0.2,0,,,,0,DE,"AS16509 Amazon.com, Inc."
elasticpot.recon,Scan,/,2025-01-23 19:53:44.037105+00:00,221.177.198.236,49066,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0,172.28.0.2,1,CyRadar,malicious,,0,BE,AS396982 Google LLC
elasticpot.recon,Scan,/,2025-01-23 19:53:44.235837+00:00,221.177.198.236,49076,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0,172.28.0.2,1,CyRadar,malicious,,0,BE,AS396982 Google LLC
elasticpot.recon,Scan,/,2025-01-23 19:53:44.579732+00:00,221.176.148.79,43104,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0,172.28.0.2,0,,,,0,BE,AS396982 Google LLC
elasticpot.recon,Scan,/_all/_mapping,2025-01-23 19:53:44.791877+00:00,221.176.148.79,43112,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0,172.28.0.2,0,,,,0,BE,AS396982 Google LLC
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-23 22:17:05.066539+00:00,133.206.173.26,49554,9200,t-pot,GET,Mozilla/OnlyScans (optout@onlyscans.com),172.28.0.2,0,,,,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-23 22:17:05.207571+00:00,133.206.173.26,49558,9200,t-pot,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.28.0.2,0,,,,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/,2025-01-25 05:26:35.016751+00:00,220.57.16.69,46568,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0,172.22.0.2,1,Guardpot,malicious,,0,BE,AS396982 Google LLC
elasticpot.recon,Scan,/,2025-01-25 05:26:35.211501+00:00,220.57.16.69,46580,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0,172.22.0.2,1,Guardpot,malicious,,0,BE,AS396982 Google LLC
elasticpot.recon,Scan,/,2025-01-25 05:26:35.573650+00:00,221.179.86.132,37502,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0,172.22.0.2,0,,,,0,BE,AS396982 Google LLC
elasticpot.recon,Scan,/_all/_mapping,2025-01-25 05:26:35.779170+00:00,221.179.86.132,37510,9200,t-pot,GET,Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0,172.22.0.2,0,,,,0,BE,AS396982 Google LLC
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-25 10:31:58.410707+00:00,95.6.126.215,53506,9200,t-pot,GET,Mozilla/OnlyScans (optout@onlyscans.com),172.22.0.2,1,Criminal IP,malicious,,0,GB,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-25 10:31:58.604175+00:00,95.6.126.215,53518,9200,t-pot,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.22.0.2,1,Criminal IP,malicious,,0,GB,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/,2025-01-25 13:12:04.744204+00:00,133.94.131.87,3149,9200,t-pot,GET,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",172.22.0.2,11,"ADMINUSLabs, Criminal IP, BitDefender, CRDF, CyRadar, Fortinet, G-Data, Guardpot, Lionic, SOCRadar, VIPRE","malicious, phishing, malware",,-2,US,AS6939 Hurricane Electric LLC
