app_name,app_version,event_timestamp,event_uuid,created_by_node_id,collected_method,transport_type,Anon Src IP,Dst IP,called_number,sip_method,sip_user_agent,sip_message,VT Malicious,VT Engines,VT Labels,VT Tags,VT Reputation,Geo Location,ISP,Malicious_Flag
sentrypeer,3.0.2,12:30.8,728213ec-c3ab-4740-984e-0da27c9a4751,1842149e-6f99-4ad0-a524-bda7dbf240ba,responsive,TCP,108.90.123.171,172.26.0.2,carol,OPTIONS,NOT_FOUND,"OPTIONS sip:carol@chicago.com SIP/2.0
Via: SIP/2.0/UDP pc33.atlanta.com;branch=z9hG4bKhjhs8ass877
From: Alice <sip:alice@atlanta.com>;tag=1928301774
To: <sip:carol@chicago.com>
Call-ID: a84b4c76e66710
CSeq: 63104 OPTIONS
Contact: <sip:alice@pc33.atlanta.com>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",7,"Criminal IP, ArcSight Threat Intelligence, BitDefender, CyRadar, G-Data, Lionic, SOCRadar","malicious, malware, phishing",,-4,US,AS396982 Google LLC,0
sentrypeer,3.0.2,27:21.2,d2eec78d-6a5a-4269-affc-b057a6528dbc,1842149e-6f99-4ad0-a524-bda7dbf240ba,responsive,TCP,169.205.42.79,172.26.0.2,nm2,OPTIONS,NOT_FOUND,"OPTIONS sip:nm SIP/2.0
Via: SIP/2.0/TCP nm;branch=foo
From: <sip:nm@nm>;tag=root
To: <sip:nm2@nm2>
Call-ID: 50000
CSeq: 42 OPTIONS
Contact: <sip:nm@nm>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",13,"ADMINUSLabs, Criminal IP, BitDefender, CINS Army, CRDF, CyRadar, Fortinet, G-Data, Guardpot, IPsum, Lionic, SOCRadar, VIPRE","malicious, phishing, malware",,-1,TH,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,0
sentrypeer,3.0.2,15:04.0,90b9382d-b81b-4835-82b0-8544b014dc94,8404145e-09bb-4b31-b2f4-318692c2ba29,responsive,TCP,6.251.21.141,172.27.0.2,carol,OPTIONS,NOT_FOUND,"OPTIONS sip:carol@chicago.com SIP/2.0
Via: SIP/2.0/UDP pc33.atlanta.com;branch=z9hG4bKhjhs8ass877
From: Alice <sip:alice@atlanta.com>;tag=1928301774
To: <sip:carol@chicago.com>
Call-ID: a84b4c76e66710
CSeq: 63104 OPTIONS
Contact: <sip:alice@pc33.atlanta.com>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",13,"ADMINUSLabs, Criminal IP, alphaMountain.ai, BitDefender, Certego, CRDF, CyRadar, Forcepoint ThreatSeeker, Fortinet, G-Data, Guardpot, Lionic, SOCRadar","malicious, phishing, malware",,-8,TW,AS396982 Google LLC,0
sentrypeer,3.0.2,59:19.9,09ff0685-6fbf-4d14-93f5-963940f54db3,4b39d0b9-4247-4e18-8fcc-71340ee195ae,responsive,TCP,101.20.115.237,192.168.0.2,nm2,OPTIONS,NOT_FOUND,"OPTIONS sip:nm SIP/2.0
Via: SIP/2.0/TCP nm;branch=foo;rport
From: <sip:nm@nm>;tag=root
To: <sip:nm2@nm2>
Call-ID: 50000
CSeq: 42 OPTIONS
Contact: <sip:nm@nm>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",5,"ADMINUSLabs, BitDefender, CyRadar, G-Data, SOCRadar","malicious, phishing, malware",,-1,HK,AS17561 LARUS Limited,0
sentrypeer,3.0.2,39:21.3,8346d35c-316b-4f12-bd07-882544ed4981,4b39d0b9-4247-4e18-8fcc-71340ee195ae,responsive,TCP,188.219.112.97,192.168.0.2,nm2,OPTIONS,NOT_FOUND,"OPTIONS sip:nm SIP/2.0
Via: SIP/2.0/TCP nm;branch=foo
From: <sip:nm@nm>;tag=root
To: <sip:nm2@nm2>
Call-ID: 50000
CSeq: 42 OPTIONS
Contact: <sip:nm@nm>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",12,"ADMINUSLabs, BitDefender, Certego, CRDF, CyRadar, Fortinet, G-Data, GreyNoise, Guardpot, IPsum, Lionic, SOCRadar","malicious, phishing, malware",,-1,HK,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,0
sentrypeer,3.0.2,35:57.9,9770d6c0-d242-4734-988e-373c10bb7f61,e03e5e62-5a73-48d7-b1b6-9134015a0cd2,responsive,TCP,12.47.16.32,192.168.112.2,carol,OPTIONS,NOT_FOUND,"OPTIONS sip:carol@chicago.com SIP/2.0
Via: SIP/2.0/UDP pc33.atlanta.com;branch=z9hG4bKhjhs8ass877
From: Alice <sip:alice@atlanta.com>;tag=1928301774
To: <sip:carol@chicago.com>
Call-ID: a84b4c76e66710
CSeq: 63104 OPTIONS
Contact: <sip:alice@pc33.atlanta.com>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",11,"ADMINUSLabs, Criminal IP, BitDefender, CRDF, CyRadar, Fortinet, G-Data, Guardpot, IPsum, Lionic, SOCRadar","malicious, phishing, malware",,-3,BR,AS396982 Google LLC,0
sentrypeer,3.0.2,06:54.3,977cfbe4-4407-41bc-b9f0-ef702fe1748f,06be1f26-3a2f-49f3-97d7-a52bfce8c02d,responsive,TCP,150.215.142.92,192.168.64.2,nobody,OPTIONS,Ak,"OPTIONS sip:nobody@3.15.22.167 SIP/2.0
Via: SIP/2.0/TCP 80.87.206.160:5060;branch=z9hG4bK.992db277;rport;alias
From: <sip:Ak@80.87.206.160:5060>;tag=70c00e8c
To: <sip:nobody@3.15.22.167>
Call-ID: 4111982650@80.87.206.160
CSeq: 1 OPTIONS
Contact: <sip:Ak@80.87.206.160:5060>
Accept: application/sdp
Max-forwards: 20
User-agent: Ak
Content-Length: 0

",9,"ADMINUSLabs, alphaMountain.ai, AlphaSOC, BitDefender, CRDF, G-Data, Lionic, SOCRadar, Sophos","malicious, malware, phishing",,-1,FR,AS16276 OVH SAS,0
sentrypeer,3.0.2,09:58.6,831d2177-a0ad-48c9-a3fe-43df35ed7eba,06be1f26-3a2f-49f3-97d7-a52bfce8c02d,responsive,TCP,12.47.16.207,192.168.64.2,carol,OPTIONS,NOT_FOUND,"OPTIONS sip:carol@chicago.com SIP/2.0
Via: SIP/2.0/UDP pc33.atlanta.com;branch=z9hG4bKhjhs8ass877
From: Alice <sip:alice@atlanta.com>;tag=1928301774
To: <sip:carol@chicago.com>
Call-ID: a84b4c76e66710
CSeq: 63104 OPTIONS
Contact: <sip:alice@pc33.atlanta.com>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",9,"Criminal IP, BitDefender, Certego, CyRadar, Fortinet, G-Data, IPsum, Lionic, SOCRadar","malicious, phishing, malware",,-5,US,AS396982 Google LLC,0
sentrypeer,3.0.2,50:25.1,1eb6a5dc-6569-49cf-add0-25839baedd87,06be1f26-3a2f-49f3-97d7-a52bfce8c02d,responsive,TCP,200.238.103.2,192.168.64.2,nm2,OPTIONS,NOT_FOUND,"OPTIONS sip:nm SIP/2.0
Via: SIP/2.0/UDP nm;branch=foo;rport
From: <sip:nm@nm>;tag=root
To: <sip:nm2@nm2>
Call-ID: 50000
CSeq: 42 OPTIONS
Contact: <sip:nm@nm>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",1,Guardpot,malicious,,0,US,AS16276 OVH SAS,0
sentrypeer,3.0.2,21:50.6,231bed86-e0c2-4f53-b271-90400c085a8f,06be1f26-3a2f-49f3-97d7-a52bfce8c02d,responsive,TCP,255.213.211.139,192.168.64.2,nm2,OPTIONS,NOT_FOUND,"OPTIONS sip:nm SIP/2.0
Via: SIP/2.0/UDP nm;branch=foo;rport
From: <sip:nm@nm>;tag=root
To: <sip:nm2@nm2>
Call-ID: 50000
CSeq: 42 OPTIONS
Contact: <sip:nm@nm>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",6,"ADMINUSLabs, alphaMountain.ai, CyRadar, Forcepoint ThreatSeeker, Guardpot, SOCRadar","malicious, malware",,-1,SG,AS16276 OVH SAS,0
sentrypeer,3.0.2,14:10.3,acb77ec6-b012-45e5-a468-e9f2babfb9c4,06be1f26-3a2f-49f3-97d7-a52bfce8c02d,responsive,TCP,152.60.107.132,192.168.64.2,nm2,OPTIONS,NOT_FOUND,"OPTIONS sip:nm SIP/2.0
Via: SIP/2.0/UDP nm;branch=foo;rport
From: <sip:nm@nm>;tag=root
To: <sip:nm2@nm2>
Call-ID: 50000
CSeq: 42 OPTIONS
Contact: <sip:nm@nm>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",9,"ADMINUSLabs, alphaMountain.ai, CINS Army, CyRadar, Forcepoint ThreatSeeker, Fortinet, Guardpot, Lionic, SOCRadar","malicious, malware",,-1,FR,AS213412 ONYPHE SAS,0
sentrypeer,3.0.2,16:44.7,4dda3ca1-2a55-4c3b-9752-15fb3bb14d48,06be1f26-3a2f-49f3-97d7-a52bfce8c02d,responsive,TCP,69.235.4.209,192.168.64.2,1.14E+13,INVITE,cisco,"INVITE sip:011442830731020@3.15.22.167 SIP/2.0
Via: SIP/2.0/TCP 185.243.5.46:51911;branch=f9tptgdoea53vbbqgjoz6anhmcvs55dipl66kixf3c5puhcvc080s0htweygtioc181z6r7;rport
From: <sip:1001@3.15.22.167>;tag=c0563947
To: <sip:011442830731020@3.15.22.167>
Call-ID: 23412f3b496cae02d3b8400fb3751964
CSeq: 1 INVITE
Contact: <sip:1001@185.243.5.46:51911;transport=TCP>;expires=60
Allow: INVITE
Allow: REGISTER
Allow: ACK
Allow: CANCEL
Allow: BYE
Allow: NOTIFY
Allow: REFER
Allow: OPTIONS
Allow: INFO
Allow: SUBSCRIBE
Allow: UPDATE
Allow: PRACK
Allow: MESSAGE
Max-forwards: 70
User-agent: cisco
Content-Length: 0

",10,"ADMINUSLabs, Criminal IP, Cluster25, CRDF, Cyble, CyRadar, Fortinet, GreyNoise, Lionic, SOCRadar","malicious, malware",,0,US,AS23470 ReliableSite.Net LLC,0
sentrypeer,3.0.2,07:57.2,67bfefc3-28b8-411e-85e5-4ef0348d88eb,7681f3f4-3746-4e18-97f1-6ff9758e620b,responsive,TCP,69.235.4.209,172.23.0.2,9.01E+15,INVITE,cisco,"INVITE sip:9011442830731020@3.15.22.167 SIP/2.0
Via: SIP/2.0/TCP 185.243.5.46:63152;branch=nfzzeftng20a4qz3fkpdvzsj9761sbjgowtdz4bbdh547jdxqq5gyaxfl4h5f5lieqemzmt;rport
From: <sip:1001@3.15.22.167>;tag=a43a02c8
To: <sip:9011442830731020@3.15.22.167>
Call-ID: 0596bcbb27c8e67c9c316d1ad3fb24d1
CSeq: 1 INVITE
Contact: <sip:1001@185.243.5.46:63152;transport=TCP>;expires=60
Allow: INVITE
Allow: REGISTER
Allow: ACK
Allow: CANCEL
Allow: BYE
Allow: NOTIFY
Allow: REFER
Allow: OPTIONS
Allow: INFO
Allow: SUBSCRIBE
Allow: UPDATE
Allow: PRACK
Allow: MESSAGE
Max-forwards: 70
User-agent: cisco
Content-Length: 0

",10,"ADMINUSLabs, Criminal IP, Cluster25, CRDF, Cyble, CyRadar, Fortinet, GreyNoise, Lionic, SOCRadar","malicious, malware",,0,US,AS23470 ReliableSite.Net LLC,0
sentrypeer,3.0.2,12:40.9,1fe36a99-1b9f-4612-9946-9aae4a7bb6a1,7681f3f4-3746-4e18-97f1-6ff9758e620b,responsive,TCP,69.235.4.209,172.23.0.2,4.43E+11,INVITE,cisco,"INVITE sip:+442830731020@3.15.22.167 SIP/2.0
Via: SIP/2.0/TCP 185.243.5.46:57580;branch=7l6qlrx3q51g7m0edoc2o8up3gd14e7kk4udxazzkc6c1q357if51bgyrq61peku0sc2s6z;rport
From: <sip:1001@3.15.22.167>;tag=f73c24d5
To: <sip:+442830731020@3.15.22.167>
Call-ID: 0fff1fa03e217f8b5ca21e7629965a74
CSeq: 1 INVITE
Contact: <sip:1001@185.243.5.46:57580;transport=TCP>;expires=60
Allow: INVITE
Allow: REGISTER
Allow: ACK
Allow: CANCEL
Allow: BYE
Allow: NOTIFY
Allow: REFER
Allow: OPTIONS
Allow: INFO
Allow: SUBSCRIBE
Allow: UPDATE
Allow: PRACK
Allow: MESSAGE
Max-forwards: 70
User-agent: cisco
Content-Length: 0

",10,"ADMINUSLabs, Criminal IP, Cluster25, CRDF, Cyble, CyRadar, Fortinet, GreyNoise, Lionic, SOCRadar","malicious, malware",,0,US,AS23470 ReliableSite.Net LLC,0
sentrypeer,3.0.2,17:17.8,af526450-4fe8-498f-86d4-2292c7649f5e,7681f3f4-3746-4e18-97f1-6ff9758e620b,responsive,TCP,69.235.4.209,172.23.0.2,4.43E+11,INVITE,cisco,"INVITE sip:442830731020@3.15.22.167 SIP/2.0
Via: SIP/2.0/TCP 185.243.5.46:56292;branch=nu70jt7nqjifzlux1voazn89c93jeqmm1tnzxnas848iy5dvkpd4mr2f0usm9n32oo9m2uu;rport
From: <sip:1001@3.15.22.167>;tag=b0620034
To: <sip:442830731020@3.15.22.167>
Call-ID: 68cd469d13a1d080f8c86d278c24d038
CSeq: 1 INVITE
Contact: <sip:1001@185.243.5.46:56292;transport=TCP>;expires=60
Allow: INVITE
Allow: REGISTER
Allow: ACK
Allow: CANCEL
Allow: BYE
Allow: NOTIFY
Allow: REFER
Allow: OPTIONS
Allow: INFO
Allow: SUBSCRIBE
Allow: UPDATE
Allow: PRACK
Allow: MESSAGE
Max-forwards: 70
User-agent: cisco
Content-Length: 0

",10,"ADMINUSLabs, Criminal IP, Cluster25, CRDF, Cyble, CyRadar, Fortinet, GreyNoise, Lionic, SOCRadar","malicious, malware",,0,US,AS23470 ReliableSite.Net LLC,0
sentrypeer,3.0.2,21:58.9,ec44cb12-7ec1-41b8-88b2-b2ddf006d7ce,7681f3f4-3746-4e18-97f1-6ff9758e620b,responsive,TCP,69.235.4.209,172.23.0.2,9.90E+16,INVITE,cisco,"INVITE sip:99011442830731020@3.15.22.167 SIP/2.0
Via: SIP/2.0/TCP 185.243.5.46:55917;branch=taflbew2h04htnfv8y6pnpygq3we0xqnoyfgoaj9e0zh7ah59ynmx60uf0q45m0qqfw2szu;rport
From: <sip:1001@3.15.22.167>;tag=16c8806a
To: <sip:99011442830731020@3.15.22.167>
Call-ID: 7f99bf8026d55e578b668fcd72658266
CSeq: 1 INVITE
Contact: <sip:1001@185.243.5.46:55917;transport=TCP>;expires=60
Allow: INVITE
Allow: REGISTER
Allow: ACK
Allow: CANCEL
Allow: BYE
Allow: NOTIFY
Allow: REFER
Allow: OPTIONS
Allow: INFO
Allow: SUBSCRIBE
Allow: UPDATE
Allow: PRACK
Allow: MESSAGE
Max-forwards: 70
User-agent: cisco
Content-Length: 0

",10,"ADMINUSLabs, Criminal IP, Cluster25, CRDF, Cyble, CyRadar, Fortinet, GreyNoise, Lionic, SOCRadar","malicious, malware",,0,US,AS23470 ReliableSite.Net LLC,0
sentrypeer,3.0.2,26:38.4,8e14c2d7-0486-43b8-91e1-36e51e061837,7681f3f4-3746-4e18-97f1-6ff9758e620b,responsive,TCP,69.235.4.209,172.23.0.2,8.80E+16,INVITE,cisco,"INVITE sip:88011442830731020@3.15.22.167 SIP/2.0
Via: SIP/2.0/TCP 185.243.5.46:51548;branch=yrqaciknimpytkb7bm9rr10d25pcox0pu0q1js99c9pgecme3p7dj7plbsvmuwp55xuo9i5;rport
From: <sip:1001@3.15.22.167>;tag=bb11cde9
To: <sip:88011442830731020@3.15.22.167>
Call-ID: a9be799391fb8db6a6c6e37a25251674
CSeq: 1 INVITE
Contact: <sip:1001@185.243.5.46:51548;transport=TCP>;expires=60
Allow: INVITE
Allow: REGISTER
Allow: ACK
Allow: CANCEL
Allow: BYE
Allow: NOTIFY
Allow: REFER
Allow: OPTIONS
Allow: INFO
Allow: SUBSCRIBE
Allow: UPDATE
Allow: PRACK
Allow: MESSAGE
Max-forwards: 70
User-agent: cisco
Content-Length: 0

",10,"ADMINUSLabs, Criminal IP, Cluster25, CRDF, Cyble, CyRadar, Fortinet, GreyNoise, Lionic, SOCRadar","malicious, malware",,0,US,AS23470 ReliableSite.Net LLC,0
sentrypeer,3.0.2,30:56.8,3193ae8f-4fd3-49c5-b8d6-bb514c44980a,7681f3f4-3746-4e18-97f1-6ff9758e620b,responsive,TCP,69.235.4.209,172.23.0.2,7.70E+16,INVITE,cisco,"INVITE sip:77011442830731020@3.15.22.167 SIP/2.0
Via: SIP/2.0/TCP 185.243.5.46:55337;branch=8syh1x14wu19gapjwtxtz6vkhlauyqfxth2vrcp1mij6k8mejn9x829af135jyxojgphxsx;rport
From: <sip:1001@3.15.22.167>;tag=08cc1d06
To: <sip:77011442830731020@3.15.22.167>
Call-ID: 0f85767ecc4217aa6b507312841c6acf
CSeq: 1 INVITE
Contact: <sip:1001@185.243.5.46:55337;transport=TCP>;expires=60
Allow: INVITE
Allow: REGISTER
Allow: ACK
Allow: CANCEL
Allow: BYE
Allow: NOTIFY
Allow: REFER
Allow: OPTIONS
Allow: INFO
Allow: SUBSCRIBE
Allow: UPDATE
Allow: PRACK
Allow: MESSAGE
Max-forwards: 70
User-agent: cisco
Content-Length: 0

",10,"ADMINUSLabs, Criminal IP, Cluster25, CRDF, Cyble, CyRadar, Fortinet, GreyNoise, Lionic, SOCRadar","malicious, malware",,0,US,AS23470 ReliableSite.Net LLC,0
sentrypeer,3.0.2,35:15.9,a0cb95b6-769c-4b94-8afe-778248a368de,7681f3f4-3746-4e18-97f1-6ff9758e620b,responsive,TCP,69.235.4.209,172.23.0.2,6.60E+16,INVITE,cisco,"INVITE sip:66011442830731020@3.15.22.167 SIP/2.0
Via: SIP/2.0/TCP 185.243.5.46:56198;branch=gbpphr95h0se189eg8n3kjmh9uer58gonl49pq5uduxcnh2eicqxezxyw6qgw31yru7slwy;rport
From: <sip:1001@3.15.22.167>;tag=d889757f
To: <sip:66011442830731020@3.15.22.167>
Call-ID: 2b52168d5ddf05994c6682ca6d96a337
CSeq: 1 INVITE
Contact: <sip:1001@185.243.5.46:56198;transport=TCP>;expires=60
Allow: INVITE
Allow: REGISTER
Allow: ACK
Allow: CANCEL
Allow: BYE
Allow: NOTIFY
Allow: REFER
Allow: OPTIONS
Allow: INFO
Allow: SUBSCRIBE
Allow: UPDATE
Allow: PRACK
Allow: MESSAGE
Max-forwards: 70
User-agent: cisco
Content-Length: 0

",10,"ADMINUSLabs, Criminal IP, Cluster25, CRDF, Cyble, CyRadar, Fortinet, GreyNoise, Lionic, SOCRadar","malicious, malware",,0,US,AS23470 ReliableSite.Net LLC,0
sentrypeer,3.0.2,39:35.7,5bba7ce3-5741-404b-8f03-c9a33283f913,7681f3f4-3746-4e18-97f1-6ff9758e620b,responsive,TCP,69.235.4.209,172.23.0.2,5.50E+16,INVITE,cisco,"INVITE sip:55011442830731020@3.15.22.167 SIP/2.0
Via: SIP/2.0/TCP 185.243.5.46:65170;branch=k4kr2uw906bxs980g6vblzs5unf9sml6c5f3bavh5nbfsx1y4w9jrv9sn4c95mimysj1kva;rport
From: <sip:1001@3.15.22.167>;tag=e41ef62f
To: <sip:55011442830731020@3.15.22.167>
Call-ID: 916caa2cf02910e622939be9249d199f
CSeq: 1 INVITE
Contact: <sip:1001@185.243.5.46:65170;transport=TCP>;expires=60
Allow: INVITE
Allow: REGISTER
Allow: ACK
Allow: CANCEL
Allow: BYE
Allow: NOTIFY
Allow: REFER
Allow: OPTIONS
Allow: INFO
Allow: SUBSCRIBE
Allow: UPDATE
Allow: PRACK
Allow: MESSAGE
Max-forwards: 70
User-agent: cisco
Content-Length: 0

",10,"ADMINUSLabs, Criminal IP, Cluster25, CRDF, Cyble, CyRadar, Fortinet, GreyNoise, Lionic, SOCRadar","malicious, malware",,0,US,AS23470 ReliableSite.Net LLC,0
